id,points,rank,name,slug,color
1,29,3600,dfens,dfens,#8BD82B
39,28,3672,Proformatyk,proformatyk,#DE2221
130,27,3844,Renekton,renekton,#DE2221
151,36,2908,Sneifer,sneifer,#DE2221
487,115,765,lukaszolej,lukaszolej,#DE2221
771,199,390,Rodiego,rodiego,#DE2221
812,48,2094,Maszin84,maszin84,#DE2221
892,58,1700,Mariano,mariano,#DE2221
2662,25,4124,Jotatsu,jotatsu,#DE2221
2847,36,2903,fiatcinquecento,fiatcinquecento,#8BD82B
3064,24,4301,Shadowlight,shadowlight,#8BD82B
3571,26,3952,sucharev,sucharev,#DE2221
3766,52,1945,kajus44,kajus44,#DE2221
4137,70,1412,slipknotkamil,slipknotkamil,#DE2221
4202,35,2967,gruby4,gruby4,#DE2221
4951,24,4253,Bartosh16,bartosh16,#DE2221
5052,21,4797,Krychu85,krychu85,#8BD82B
5421,20,4995,tomaszjerzy,tomaszjerzy,#DE2221
5911,60,1646,odysekgln,odysekgln,#DE2221
6409,47,2143,Michauekk,michauekk,#DE2221
6668,57,1740,duliusz,duliusz,#8BD82B
6675,28,3625,White828,white828,#DE2221
6874,36,2856,KrystianDis,krystiandis,#DE2221
8377,23,4362,marcinzombi,marcinzombi,#DE2221
8528,28,3613,naps12,naps12,#8BD82B
8634,46,2195,Grinch,grinch,#DE2221
9382,33,3083,Hasashi,hasashi,#8BD82B
9434,26,3865,Blodek,blodek,#8BD82B
9826,28,3604,krzysmTA,krzysmta,#DE2221
10228,55,1828,bartekxxx7,bartekxxx7,#DE2221
10271,85,1135,Slepmaster,slepmaster,#DE2221
10555,38,2764,Alcik,alcik,#DE2221
10977,38,2762,Sergon,sergon,#DE2221
11138,189,408,gienekmiecio,gienekmiecio,#DE2221
11962,33,3166,adekk95,adekk95,#DE2221
12155,31,3363,Gerwazy1234,gerwazy1234,#8BD82B
12162,32,3276,dzik3887,dzik3887,#8BD82B
12650,22,4684,fm12345,fm12345,#DE2221
12806,68,1464,azzkickr,azzkickr,#DE2221
13211,52,1957,Boczek1102,boczek1102,#DE2221
13455,78,1241,mrx8,mrx8,#DE2221
13673,278,247,kotul77,kotul77,#DE2221
14174,210,359,BratBaldrick,bratbaldrick,#DE2221
16180,46,2234,gejlorfajfus,gejlorfajfus,#DE2221
16510,63,1588,krzych111,krzych111,#8BD82B
16582,113,790,4kill,4kill,#DE2221
17360,25,4137,malyrataj,malyrataj,#DE2221
17747,71,1388,caboniek,caboniek,#DE2221
19173,102,916,riki,riki,#8BD82B
22096,48,2124,ktos17,ktos17,#8BD82B
25255,34,3060,Perzyk90,perzyk90,#DE2221
26193,51,2014,SinnerHD16,sinnerhd16,#DE2221
27877,43,2406,jotef73,jotef73,#DE2221
28485,29,3563,pit3r_gora,pit3r-gora,#8BD82B
28740,159,520,Duath,duath,#DE2221
30713,146,579,4pack,4pack,#DE2221
31330,34,3056,AddonworldxD,addonworldxd,#DE2221
32129,35,2973,zigadzida,zigadzida,#DE2221
32234,28,3683,LordLemur1,lordlemur1,#8BD82B
32803,150,558,harcymon,harcymon,#DE2221
33148,284,239,jezus_malina,jezus-malina,#8BD82B
33406,34,3054,bogusz89,bogusz89,#DE2221
33422,93,1019,Mowgli,mowgli,#DE2221
33696,56,1785,Remiqius,remiqius,#DE2221
33717,21,4837,gmafioza,gmafioza,#DE2221
33770,38,2747,liczigo,liczigo,#DE2221
33920,81,1192,rebot331469,rebot331469,#DE2221
33929,37,2818,itritr,itritr,#8BD82B
34199,45,2277,Sobczak,sobczak,#DE2221
34231,21,4835,areas1,areas1,#DE2221
34515,47,2169,TheByQ,thebyq,#8BD82B
34687,46,2228,Frezer96,frezer96,#DE2221
34734,128,680,ridin,ridin,#DE2221
34749,21,4831,admin,admin,#8BD82B
34996,81,1190,BrylSon,brylson,#8BD82B
35212,39,2678,oumjagad,oumjagad,#8BD82B
35463,39,2677,Antykreator,antykreator,#DE2221
35470,306,209,bsi82,bsi82,#8BD82B
35476,22,4653,TMadara,tmadara,#8BD82B
35817,237,300,Pronike3,pronike3,#DE2221
36908,48,2114,Lipton20,lipton20,#DE2221
36948,34,3043,Shado1771,shado1771,#666666
37109,52,1947,procentoholik85,procentoholik85,#DE2221
37185,350,177,ruszofy_konik,ruszofy-konik,#DE2221
37624,23,4462,SzczwanyGapa,szczwanygapa,#DE2221
38350,49,2070,Kupsztal,kupsztal1,#DE2221
38418,30,3445,Abdul97,abdul97,#8BD82B
38773,79,1228,dexxxterek,dexxxterek,#DE2221
38786,23,4458,Patrique,patrique,#DE2221
39442,34,3038,xmefjux,xmefjux,#DE2221
